"brand","sales_year","countryfull","avg_discount_per_unit","avg_discount_percent","total_discount_amount","total_actual_revenue","total_base_revenue"
"Proseware","2020","Canada","27.45","5.90",7615.838279797215,128245.12087091281,135860.95915071003
"The Phone Company","2020","United Kingdom","25.18","5.93",7315.117058139993,118818.41101386,126133.52807199999
"Contoso","2020","Canada","8.12","5.90",6927.674628591587,111250.86991891838,118178.54454750997
"Adventure Works","2020","Netherlands","29.98","4.81",4756.274780295847,94610.36911407919,99366.64389437504
"Contoso","2020","Australia","8.90","5.11",4642.078588111544,87831.2550509785,92473.33363909005
"Contoso","2020","United Kingdom","10.27","6.53",6099.688191800888,85892.50868248318,91992.19687428407
"Proseware","2020","Australia","29.98","6.80",3476.1136571999814,80464.0167378,83940.13039499999
"Adventure Works","2020","Italy","67.91","8.19",6248.782388529988,76319.29434376,82568.07673228999
"Adventure Works","2020","France","61.34","4.93",4299.258779885087,73146.78770057991,77446.046480465
"Tailspin Toys","2020","United States","2.29","6.06",4437.139517999996,71653.74208200003,76090.88160000002
"Wide World Importers","2020","Netherlands","26.93","6.23",3466.4995676531835,71622.4906773168,75088.99024496999
"Proseware","2020","Germany","23.02","5.51",4826.235762331591,66376.82704462842,71203.06280696
"Southridge Video","2020","Canada","6.54","5.99",3805.8963204017855,65528.521992248214,69334.41831265
"Fabrikam  ","2020","Germany","61.30","4.83",4387.136551599986,64557.7916324,68944.92818399999
"Fabrikam  ","2020","Canada","60.75","6.00",6227.730877279995,61765.01263372,67992.743511
"Proseware","2020","United Kingdom","32.95","6.10",4646.933507213391,59114.0063099466,63760.93981715999
"The Phone Company","2020","Netherlands","19.58","4.33",3005.486072120002,58399.73409788,61405.22017
"Fabrikam","2020","United Kingdom","38.75","6.58",3043.685055794209,58320.49598633578,61364.18104212999
"Northwind Traders","2020","United States","5.88","6.11",3070.031759999976,56033.62704000003,59103.658800000005
"Litware","2020","United States","13.55","5.70",2710.5237000000125,55373.7633,58084.28700000001
"The Phone Company","2020","France","24.43","6.14",3313.375478979986,51091.62199302002,54404.997472
"Fabrikam","2020","Germany","41.77","7.89",4758.618804412792,47358.64073784721,52117.25954226
"Southridge Video","2020","Germany","8.31","6.38",3264.7782574467783,43667.10234687321,46931.88060431999
"Southridge Video","2020","United Kingdom","6.99","6.08",2915.072845251314,43300.18644161869,46215.25928687
"Contoso","2020","Netherlands","11.19","6.03",2317.5121093910857,39735.631014868915,42053.14312426
"Contoso ","2020","Canada","32.36","4.20",1791.2630314674025,38589.9847572726,40381.24778874
"Contoso ","2020","Germany","47.73","6.85",2291.1307675920034,38519.997276887996,40811.12804448
"Southridge Video","2020","Australia","7.27","6.70",2210.0226061060166,37581.49825402399,39791.520860130004
"Fabrikam  ","2020","United Kingdom","33.32","3.80",1648.4530187400014,36107.75085126,37756.203870000005
"Proseware","2020","France","7.24","5.00",315.8257502999986,35132.060909700005,35447.886660000004
"Contoso","2020","France","12.06","6.03",2348.121961823599,33318.9129351164,35667.03489694
"Fabrikam  ","2020","Netherlands","74.34","7.46",3253.0311786500097,32974.44395135,36227.475130000006
"Contoso ","2020","United Kingdom","58.86","7.86",3150.3209770602007,32727.2836429098,35877.60461997
"Fabrikam","2020","Australia","26.10","4.81",1498.5817646855066,32548.4851898645,34047.066954550006
"Fabrikam  ","2020","Australia","73.83","6.25",3477.04079843999,32411.157833560002,35888.19863199999
"The Phone Company","2020","Italy","27.37","6.55",2161.2475861200146,32239.69343588,34400.94102200001
"Wide World Importers","2020","Italy","28.81","7.28",2831.6699591490033,31910.538247400997,34742.20820655
"Contoso ","2020","Australia","19.99","5.31",1160.6783938829976,31767.529294376996,32928.207688259994
"Wide World Importers","2020","France","23.20","7.52",2395.2634379802003,31556.7706076598,33952.03404564
"Proseware","2020","Netherlands","35.95","6.39",1749.956182199996,31034.654677800005,32784.61086
"Litware","2020","Australia","56.75","7.44",3675.3633959301005,27820.9658758599,31496.32927179
"A. Datum","2020","Germany","14.62","5.22",1625.9776826149937,27704.932623885004,29330.910306499998
"Fabrikam","2020","Italy","36.29","6.29",1148.3481130764048,26935.506667503596,28083.85478058
"Contoso","2020","Italy","11.93","5.59",1762.2939024546067,25221.305734695394,26983.59963715
"A. Datum","2020","Canada","19.72","6.04",2022.5878667059987,24307.932158994005,26330.520025700003
"Southridge Video","2020","Italy","10.41","6.68",1489.0357888835933,22939.945007316404,24428.980796199998
"Southridge Video","2020","France","8.99","6.30",1972.5064786229996,21785.168631436994,23757.675110059994
"Litware ","2020","United States","48.29","6.86",1667.527399999999,19938.5126,21606.039999999997
"Fabrikam","2020","France","64.83","7.62",1474.6986587119973,17356.069048008,18830.76770672
"Southridge Video","2020","Netherlands","6.31","6.08",1323.339458493505,17038.237625166497,18361.577083660002
"Litware","2020","Germany","21.24","4.42",1353.1840435440026,16940.361558906,18293.54560245
"Proseware","2020","Italy","19.53","5.11",887.7263903550011,16641.678470745,17529.4048611
"Litware","2020","France","100.12","7.25",1263.8488774652997,16298.226530444701,17562.07540791
"A. Datum","2020","Australia","8.84","4.10",663.6803157600007,15598.845806939999,16262.5261227
"Northwind Traders","2020","Australia","9.89","5.07",1414.2385049516997,14371.0244143083,15785.26291926
"Contoso ","2020","Netherlands","79.84","8.83",1581.7121616599998,13582.09471734,15163.806879
"Tailspin Toys","2020","Canada","2.49","5.70",1047.6746871471005,13191.839271702902,14239.513958850002
"Litware ","2020","Canada","33.34","5.75",1057.220345804999,12712.913345695,13770.1336915
"A. Datum","2020","United Kingdom","13.41","5.52",684.0882839449987,12021.201915855003,12705.290199800002
"Tailspin Toys","2020","Germany","2.02","6.09",740.046861751498,11373.1502576085,12113.197119359998
"Fabrikam","2020","Netherlands","19.81","4.00",649.231679829998,11289.651361370003,11938.8830412
"Fabrikam  ","2020","France","82.92","8.17",1095.1068381000005,10656.8626219,11751.96946
"A. Datum","2020","Netherlands","18.01","6.08",945.489423801997,10584.680704598002,11530.1701284
"Tailspin Toys","2020","Australia","2.06","6.85",695.0363686352975,10088.637035474701,10783.673404109999
"Tailspin Toys","2020","United Kingdom","2.01","5.65",617.0922463751976,10070.242041034799,10687.334287409996
"Northwind Traders","2020","Germany","6.19","5.00",628.992083786401,10045.4895631836,10674.481646970002
"Northwind Traders","2020","Canada","3.29","6.23",576.8325869031032,9445.804732476898,10022.637319380001
"Litware","2020","Canada","47.54","8.17",1020.6685463688009,9349.7414447412,10370.40999111
"Litware ","2020","Australia","79.68","13.00",1313.7391247399992,8479.916942759999,9793.656067499998
"A. Datum","2020","Italy","11.16","4.57",465.8585836300008,8412.503623370001,8878.362207000002
"Tailspin Toys","2020","Netherlands","2.18","5.26",456.9191255285996,6922.4053042314,7379.3244297599995
"Litware","2020","Netherlands","125.36","12.67",914.8124859263999,6653.1926967936,7568.0051827199995
"Litware","2020","United Kingdom","11.61","3.87",339.1951498488015,6398.4577497012,6737.652899550001
"Fabrikam  ","2020","Italy","22.19","5.50",147.20281400000022,6227.941126,6375.14394
"A. Datum","2020","France","25.53","8.00",573.0229690350006,6188.515663165001,6761.538632200001
"Litware ","2020","Germany","44.35","7.60",447.54676148999897,6017.39899551,6464.945756999999
"Northwind Traders","2020","United Kingdom","3.80","5.76",273.28052926980035,5376.4844227182,5649.764951988001
"Litware","2020","Italy","23.37","4.86",606.8954202330006,5102.341833087001,5709.237253320001
"Litware ","2020","United Kingdom","1.80","0.33",29.19202436500018,4701.0845753349995,4730.2765997
"Tailspin Toys","2020","Italy","3.11","5.54",354.26515430879954,4555.0533410712005,4909.31849538
"Contoso ","2020","Italy","46.03","7.60",289.8278168849997,3355.378926615,3645.2067435
"Northwind Traders","2020","Italy","2.38","5.00",149.6711426787001,3264.8878265913,3414.55896927
"Tailspin Toys","2020","France","2.15","6.13",186.57045495269904,2808.9629446473,2995.533399599999
"Adventure Works ","2020","United States","15.18","9.40",243.85065499999973,2339.997345,2583.848
"Northwind Traders","2020","Netherlands","3.41","5.00",122.64771450240005,2187.1210033476,2309.76871785
"Contoso ","2020","France","57.34","11.50",273.70152450000023,2118.946788,2392.6483125000004
"Litware ","2020","Netherlands","0.00","0.00",0,1395.832226,1395.832226
"Northwind Traders","2020","France","5.37","6.86",39.980477508300055,1037.8923969717,1077.87287448
"Adventure Works ","2020","Germany","19.38","12.00",95.00214810959994,696.6824194704001,791.68456758
"Litware ","2020","France","73.05","11.00",62.04484769999999,501.99922230000004,564.04407
"Adventure Works ","2020","Australia","14.53","9.00",21.69075799799998,219.317664202,241.00842219999998
"Adventure Works ","2020","United Kingdom","14.53","9.00",11.104813487249999,112.28200303775,123.386816525
"Adventure Works","2021","United States","43.41","5.80",167274.26311999327,2876418.8073800015,3043693.070499995
"Wide World Importers","2021","United States","32.78","5.67",124489.50177000463,2104853.134229999,2229342.6360000037
"The Phone Company","2021","United States","22.94","5.69",119384.69199999771,1901609.108000001,2020993.7999999986
"Contoso","2021","United States","11.17","5.98",100015.57565999916,1510618.5273400005,1610634.1029999997
"Proseware","2021","United States","28.34","5.61",55899.46520999982,1014978.82179,1070878.2869999998
"Fabrikam","2021","United States","33.99","5.98",42297.00702999951,655403.7389700003,697700.7459999998
"Adventure Works","2021","Canada","44.74","6.33",44983.18766542035,623440.7660956096,668423.95376103
"Wide World Importers","2021","Canada","35.21","5.91",33827.06151889847,571993.7742709613,605820.8357898598
"Southridge Video","2021","United States","6.92","5.78",33570.45403000177,569706.2359699993,603276.6900000011
"Contoso ","2021","United States","34.85","5.57",29300.928749999905,514324.3702500002,543625.2990000001
"Adventure Works","2021","Germany","45.78","5.63",31920.126493624062,460406.2790678163,492326.40556144033
"The Phone Company","2021","Canada","23.02","5.93",26975.679185839952,410720.5623141602,437696.2415000002
"Adventure Works","2021","Australia","41.29","5.86",24715.572916960635,374863.85025644425,399579.4231734049
"The Phone Company","2021","Australia","25.13","6.12",23761.104963679798,327943.13745032024,351704.24241400004
"Adventure Works","2021","United Kingdom","40.50","5.77",19349.871968177555,321578.67941360245,340928.55138178
"Litware","2021","United States","25.66","6.16",17708.399309999775,315241.17769,332949.57699999976
"Contoso","2021","Canada","10.94","6.13",20952.263854041346,313814.30509065854,334766.5689446999
"Proseware","2021","Canada","26.60","5.35",16713.27863055066,300382.40135633945,317095.6799868901
"The Phone Company","2021","Germany","25.78","6.18",20155.689192099904,289967.59042789985,310123.27961999975
"Wide World Importers","2021","Germany","29.46","5.57",16292.422100142401,273931.73223292775,290224.15433307015
"Wide World Importers","2021","Australia","31.88","5.59",18366.693041582184,265814.7688044579,284181.4618460401
"Wide World Importers","2021","United Kingdom","44.32","6.16",18620.28059334599,264806.69377946405,283426.97437281004
"Fabrikam  ","2021","United States","54.63","6.54",15937.834000000003,244981.06599999996,260918.89999999997
"Contoso","2021","Australia","11.24","5.73",14458.13706375158,235441.26904117828,249899.40610492986
"The Phone Company","2021","United Kingdom","24.16","5.93",13570.574961160251,225205.6315888398,238776.20655000006
"A. Datum","2021","United States","18.90","6.04",11483.352099999844,187142.10789999994,198625.4599999998
"Contoso","2021","Germany","8.97","6.20",11065.327430816804,178261.30340170325,189326.63083252005
"Proseware","2021","Australia","25.59","6.65",9538.249808077118,174258.20727626287,183796.45708433999
"Contoso","2021","United Kingdom","8.97","5.08",8869.052828202723,164173.6579329072,173042.71076110992
"Fabrikam","2021","Canada","29.66","5.16",8724.561876520223,149809.82922806975,158534.39110458997
"Fabrikam","2021","Australia","40.27","6.11",6569.605374414823,139253.7986017352,145823.40397615003
"Adventure Works","2021","France","43.42","5.76",7705.5274455189065,135766.54769921105,143472.07514472996
"Proseware","2021","Germany","31.91","6.59",10718.86015693238,128816.1951943677,139535.05535130008
"Southridge Video","2021","Canada","6.58","5.35",6595.84613805954,117779.35359514042,124375.19973319996
"Adventure Works","2021","Netherlands","32.93","5.93",6212.702623861929,116235.42205372301,122448.12467758494
"Contoso","2021","Netherlands","16.04","6.72",10074.575434125712,115415.84442418431,125490.41985831002
"The Phone Company","2021","Netherlands","24.58","6.08",6955.924643500068,104932.74662850001,111888.67127200008
"The Phone Company","2021","France","24.70","5.82",6304.17606433999,104830.23603766003,111134.41210200002
"Wide World Importers","2021","Netherlands","36.46","6.10",6223.40838345571,104566.69240208434,110790.10078554005
"Adventure Works","2021","Italy","41.78","6.23",6411.019967966204,100844.7446851088,107255.764653075
"Proseware","2021","United Kingdom","23.81","5.32",4840.4916526019515,92505.54998626803,97346.04163886998
"Tailspin Toys","2021","United States","2.16","5.92",6216.800418000101,90674.53558200003,96891.33600000013
"Northwind Traders","2021","United States","7.87","5.79",4793.368229999935,88991.74377000002,93785.11199999995
"Litware","2021","Germany","27.76","5.42",6326.110318486477,84156.9358150135,90483.04613349997
"Contoso ","2021","Canada","43.68","5.95",5085.615751848018,83571.46069156201,88657.07644341003
"Fabrikam","2021","Germany","36.44","7.26",5922.103955215716,81547.6449876843,87469.74894290001
"Wide World Importers","2021","France","46.24","6.80",7506.103611717903,80404.1908964121,87910.29450813
"Litware ","2021","United States","36.47","6.31",4311.6633500000025,78406.16665,82717.83
"Southridge Video","2021","Australia","9.03","6.47",5625.704039974851,75824.61588787514,81450.31992785
"Contoso ","2021","Germany","24.23","4.65",3247.995897664179,74595.71535854581,77843.71125621
"Fabrikam","2021","United Kingdom","46.22","6.68",6465.407546699993,74346.93465329,80812.34219998999
"Southridge Video","2021","Germany","6.81","6.56",4334.793925181642,70473.67385136837,74808.46777655001
"Southridge Video","2021","United Kingdom","6.32","5.37",3669.371824166854,68023.2517242632,71692.62354843006
"Proseware","2021","Netherlands","40.95","7.10",5503.599392376593,66034.5383313834,71538.13772376
"Contoso ","2021","Australia","40.03","8.07",5371.1681386122145,62813.7130386978,68184.88117731002
"A. Datum","2021","Canada","25.21","8.46",6100.585032387993,62039.876586512015,68140.46161890001
"Wide World Importers","2021","Italy","34.49","6.26",4709.231052495881,61225.4099414241,65934.64099391998
"Fabrikam  ","2021","Australia","67.93","6.00",5657.777644859998,60478.96680914,66136.744454
"Contoso ","2021","United Kingdom","41.53","6.07",3170.722239786606,52615.46149688341,55786.18373667001
"Contoso","2021","France","9.18","6.04",3572.7897824910106,50347.284985058985,53920.074767549995
"The Phone Company","2021","Italy","27.86","6.60",3419.4037158400242,48682.640138159986,52102.04385400001
"Fabrikam  ","2021","Canada","63.66","7.86",3263.288170120002,47209.17782988,50472.466
"Proseware","2021","France","34.11","7.79",3140.526242309985,41768.16800319001,44908.694245499995
"Litware","2021","Canada","23.36","6.73",3631.3752148443964,41026.6408075756,44658.01602241999
"A. Datum","2021","Australia","19.59","5.97",2731.7884102299795,39957.07196987001,42688.86038009999
"Proseware","2021","Italy","34.24","4.59",3164.846987060999,39375.839562548994,42540.68654960999
"Fabrikam","2021","France","29.42","4.86",1706.390378062999,38231.03864359699,39937.42902165999
"Fabrikam  ","2021","Germany","48.35","5.88",2651.253268399996,35558.5294196,38209.782688
"Southridge Video","2021","France","8.98","5.47",1947.5964924449945,34811.73974586501,36759.33623831
"Contoso ","2021","Netherlands","48.80","6.00",1780.6872977837993,31895.595189376203,33676.28248716
"Southridge Video","2021","Netherlands","7.95","5.99",2338.2778291313844,28373.728251588615,30712.00608072
"Litware","2021","United Kingdom","24.57","5.58",710.2774216682992,27729.450655031702,28439.7280767
"Fabrikam  ","2021","United Kingdom","71.53","7.17",2542.3247000799965,27088.613933920005,29630.938634000002
"A. Datum","2021","United Kingdom","22.80","7.31",1948.6860293999962,24891.2410637,26839.927093099996
"Contoso","2021","Italy","5.23","5.33",1474.5069812807014,24485.936254549295,25960.443235829996
"A. Datum","2021","Germany","16.30","5.74",1386.1644664010018,23644.706054299,25030.870520700002
"Fabrikam","2021","Netherlands","23.99","5.26",877.4948984610019,20628.999851859,21506.494750320002
"Northwind Traders","2021","Germany","14.23","5.68",1690.7701856489984,20157.674983280995,21848.445168929993
"Fabrikam","2021","Italy","36.57","5.80",634.1412772241965,16009.422859655802,16643.56413688
"Litware","2021","Australia","10.41","5.95",790.2780336187061,15067.759406551299,15858.037440170005
"Northwind Traders","2021","United Kingdom","14.97","5.84",709.8093911106007,14612.5521616194,15322.36155273
"Fabrikam  ","2021","France","66.33","6.29",1251.069329619997,13883.924852380002,15134.994181999999
"Litware","2021","France","10.74","5.00",627.3512516705014,13467.592445379496,14094.943697049997
"Tailspin Toys","2021","Canada","2.08","6.45",955.6987027807809,13464.292844741216,14419.991547521997
"Litware ","2021","United Kingdom","44.99","6.37",621.1873079789948,13298.757677571,13919.944985549995
"A. Datum","2021","Netherlands","18.38","5.32",738.0637661319979,12057.039975068,12795.103741199999
"Northwind Traders","2021","Australia","3.37","5.71",341.2812075039037,12030.2799146361,12371.561122140003
"A. Datum","2021","France","19.14","5.25",621.5529368619991,11988.006692838,12609.5596297
"Southridge Video","2021","Italy","3.65","5.08",455.85568575920297,11881.361670280796,12337.217356039999
"Contoso ","2021","Italy","47.42","7.44",576.1982834549999,11652.285822795,12228.48410625
"Tailspin Toys","2021","Australia","1.39","5.73",498.77515317149664,11177.083130458503,11675.85828363
"Fabrikam  ","2021","Netherlands","84.79","9.20",813.8034255999992,11141.7802144,11955.583639999999
"Litware ","2021","Germany","30.71","5.91",562.0108033254983,10864.095330624501,11426.10613395
"Tailspin Toys","2021","Germany","1.87","5.36",646.477840811338,10631.669650836662,11278.147491648
"Litware","2021","Netherlands","15.44","6.20",797.5601623008006,10354.8678803292,11152.428042630001
"Northwind Traders","2021","Canada","4.59","6.13",787.8618098532006,9620.117650666802,10407.979460520002
"Fabrikam  ","2021","Italy","33.60","6.00",132.25142699999924,9368.082273000002,9500.333700000001
"Contoso ","2021","France","24.61","3.29",514.91580471,7693.4836467899995,8208.3994515
"Tailspin Toys","2021","Netherlands","1.90","4.46",244.7668878443992,6949.1676402756,7193.934528119999
"Litware","2021","Italy","27.69","5.75",608.2885608687002,6496.2436916313,7104.5322525
"Litware ","2021","Netherlands","19.92","3.00",101.99648627999886,6328.35232272,6430.348808999999
"Tailspin Toys","2021","United Kingdom","1.65","6.09",342.3791262878967,6205.9918165821,6548.370942869997
"Adventure Works ","2021","United States","9.69","6.00",406.95606000000134,5891.173439999999,6298.1295
"A. Datum","2021","Italy","25.46","7.71",409.51503846000014,5728.6045040399995,6138.1195425
"Northwind Traders","2021","Italy","40.93","2.50",281.5166097000001,5386.1632159499995,5667.67982565
"Litware ","2021","Australia","31.31","7.33",524.8556360739994,5164.561878826,5689.417514899999
"Litware ","2021","Canada","53.42","10.33",544.9671327300002,4636.37090527,5181.338038
"Litware ","2021","Italy","22.77","3.00",137.3904789600001,4442.29215304,4579.682632
"Northwind Traders","2021","France","25.72","1.57",304.2265220280001,3619.7792031420004,3924.0057251700005
"Litware ","2021","France","22.72","8.00",116.6709242400002,2721.5886337599995,2838.2595579999997
"Northwind Traders","2021","Netherlands","4.26","6.85",234.0452503170004,2698.003052343,2932.0483026600004
"Tailspin Toys","2021","France","2.59","4.98",171.5909486777996,2493.3350313521996,2664.925980029999
"Tailspin Toys","2021","Italy","1.86","6.26",150.59190459780007,2003.7137537321998,2154.30565833
"Adventure Works ","2021","Italy","17.76","11.00",107.48365196030011,869.6404567697,977.1241087300001
"Adventure Works ","2021","France","0.00","0.00",0,285.46998665999996,285.46998665999996
"Adventure Works ","2021","Germany","12.92","8.00",22.831656082400002,262.5640449476,285.39570103
"Adventure Works ","2021","United Kingdom","0.00","0.00",0,228.31203909,228.31203909
"Adventure Works ","2021","Canada","22.61","14.00",28.21155059939997,173.2995251106,201.51107570999997
"Adventure Works","2022","United States","40.38","5.94",341505.9497049991,5515580.963295003,5857086.9130000025
"The Phone Company","2022","United States","20.02","5.90",230568.2680000104,3724021.93200001,3954590.20000002
"Wide World Importers","2022","United States","30.08","6.08",220877.82222999586,3440085.592770009,3660963.4150000047
"Contoso","2022","United States","9.81","5.89",200050.99121000525,3039215.8957900037,3239266.887000009
"Proseware","2022","United States","26.14","6.09",127286.47406000108,1964559.0689399978,2091845.542999999
"Southridge Video","2022","United States","7.71","5.96",90104.09596999246,1465487.5940299954,1555591.6899999878
"Adventure Works","2022","Canada","39.68","6.12",84550.79416427808,1357311.4364733014,1441862.2306375795
"Fabrikam","2022","United States","34.66","5.98",86739.81994999922,1291045.4250499993,1377785.2449999985
"Contoso ","2022","United States","41.93","5.86",77996.77744000009,1241502.0705599987,1319498.8479999988
"Adventure Works","2022","Germany","38.41","6.09",65082.743221339886,977098.5036489855,1042181.2468703254
"The Phone Company","2022","Canada","18.99","5.73",59553.509748539655,944303.3362354605,1003856.8459840001
"Adventure Works","2022","Australia","37.19","5.72",54062.067082373425,888712.822721906,942774.8898042794
"Litware","2022","United States","29.75","5.83",48891.29258999869,756476.8644099996,805368.1569999983
"Wide World Importers","2022","Canada","24.73","5.76",42385.20696103049,741476.3784665198,783861.5854275502
"Adventure Works","2022","United Kingdom","39.26","5.90",49533.47286911332,723405.376166782,772938.8490358953
"Contoso","2022","Canada","9.47","5.94",46000.86645541934,683666.9635146407,729667.82997006
"The Phone Company","2022","Australia","20.33","5.90",42732.04952470015,678817.5375693,721549.5870940002
"Wide World Importers","2022","Germany","35.51","6.41",47558.22494389117,673113.7383262588,720671.96327015
"The Phone Company","2022","Germany","19.32","5.74",39401.96815849957,664991.2032275001,704393.1713859997
"Contoso","2022","Australia","10.38","6.01",42081.82751387765,597842.7010264324,639924.5285403101
"Wide World Importers","2022","Australia","27.88","5.69",33738.51967359788,527970.2676722622,561708.78734586
"Contoso","2022","Germany","9.26","5.70",31236.216358747915,527708.7971676618,558945.0135264097
"The Phone Company","2022","United Kingdom","19.18","5.52",29405.048155079712,490825.9056989205,520230.9538540002
"Proseware","2022","Canada","21.77","5.88",30367.17403693474,490821.45229754533,521188.62633448007
"Wide World Importers","2022","United Kingdom","30.65","6.13",29442.857089239114,457021.76848488086,486464.62557412
"Fabrikam  ","2022","United States","54.13","6.31",30774.90100000013,425444.2989999998,456219.19999999995
"Adventure Works","2022","Netherlands","42.72","6.37",27654.62223455787,409789.4251927324,437444.0474272903
"Contoso","2022","United Kingdom","9.95","5.79",23160.294967878785,375616.4044623116,398776.6994301904
"Proseware","2022","Germany","28.08","6.26",27099.29559803818,375142.8834060618,402242.1790041
"Southridge Video","2022","Canada","6.77","5.72",20534.24270132155,345128.11319320864,365662.3558945302
"Fabrikam","2022","Canada","30.64","5.58",19617.065890050435,337745.0976525594,357362.16354260984
"A. Datum","2022","United States","17.58","6.09",21773.18280000001,331001.2872,352774.47000000003
"Southridge Video","2022","Germany","8.84","6.18",21088.110300431028,296474.4130974692,317562.5233979002
"Contoso ","2022","Canada","34.45","5.80",16174.23388813954,291255.8048158404,307430.0387039799
"Adventure Works","2022","France","39.94","6.33",18247.330065704416,287583.4459738954,305830.7760395998
"Proseware","2022","Australia","21.12","6.10",17035.1845174958,282513.6191840042,299548.8037015
"Wide World Importers","2022","Netherlands","29.27","5.97",15862.168611773057,275957.51472563704,291819.6833374101
"The Phone Company","2022","Netherlands","20.63","5.93",18630.312623480044,274912.9691005201,293543.2817240001
"Fabrikam","2022","Australia","29.74","5.84",13104.184130588023,263358.619960462,276462.80409105
"The Phone Company","2022","France","21.59","6.32",17731.0158615596,260782.1162204403,278513.1320819999
"Contoso","2022","Netherlands","10.13","6.28",15647.92336266837,244087.64347325158,259735.56683591995
"Contoso ","2022","Germany","37.64","5.89",13558.585920441488,242839.4457421885,256398.03166262998
"Fabrikam","2022","Germany","32.50","5.34",13192.257434795785,226197.6815991842,239389.93903398
"Northwind Traders","2022","United States","17.97","5.87",18298.380679999886,223598.96032000016,241897.34100000004
"Proseware","2022","United Kingdom","20.83","5.48",11708.540674695832,216736.047443404,228444.58811809984
"Southridge Video","2022","Australia","6.34","5.58",12556.022791604366,214090.37852150563,226646.40131311
"Wide World Importers","2022","France","29.69","5.27",11653.09823301062,212593.96642770938,224247.06466072
"Contoso ","2022","Australia","45.46","6.75",13759.350905079744,202930.14594993027,216689.49685501002
"Litware","2022","Canada","23.29","5.27",10976.62723629037,201151.02328278957,212127.65051907994
"Southridge Video","2022","United Kingdom","8.33","5.96",11580.39582827827,183574.1713644817,195154.56719275998
"Litware","2022","Germany","29.53","5.54",8979.993696243939,181561.84594435603,190541.83964059997
"Fabrikam","2022","United Kingdom","29.64","4.78",9237.21322796875,170828.7935384312,180066.00676639995
"Contoso","2022","France","8.95","5.71",9609.915053232631,165400.64608996722,175010.56114319985
"Litware ","2022","United States","38.50","6.39",10715.981900000013,163825.01309999995,174540.99499999997
"Contoso ","2022","United Kingdom","46.78","6.64",11166.042001233174,158596.10042878677,169762.14243001994
"Tailspin Toys","2022","United States","1.96","5.83",9680.878268000117,153163.12073199975,162843.99899999987
"Proseware","2022","Netherlands","23.47","6.59",9789.282306698762,135443.5183582013,145232.80066490007
"Fabrikam","2022","Netherlands","43.80","6.78",7533.2212107012165,135261.94871904873,142795.16992974994
"Adventure Works","2022","Italy","41.21","6.19",10341.566707437916,134852.08997371705,145193.65668115497
"Proseware","2022","France","24.65","5.46",8218.360223534051,134732.55324906603,142950.91347260008
"The Phone Company","2022","Italy","19.21","6.06",7843.182115639982,120542.27560636002,128385.457722
"Fabrikam  ","2022","Canada","41.16","4.49",4789.425154959987,113701.48529204,118490.91044699999
"Northwind Traders","2022","Canada","21.82","5.55",8594.382251645526,112188.03660488449,120782.41885653001
"Litware","2022","Australia","32.99","6.53",11255.015039863923,110095.9747105361,121350.98975040003
"Contoso ","2022","Netherlands","41.01","6.26",5600.997326903802,107182.6048392362,112783.60216614
"Wide World Importers","2022","Italy","34.03","6.97",7701.577017655261,102150.81283627475,109852.38985393001
"Southridge Video","2022","France","8.24","6.81",7248.067146333386,98346.42731621656,105594.49446254995
"Southridge Video","2022","Netherlands","8.64","6.12",6581.807083649532,97457.76834932037,104039.5754329699
"Contoso","2022","Italy","10.81","6.01",6415.641966661482,96062.79098007854,102478.43294674002
"Fabrikam  ","2022","Germany","45.48","6.11",5120.049899160018,92781.50899583999,97901.55889500001
"Proseware","2022","Italy","35.76","6.09",5972.997345905838,79261.92703229417,85234.92437820001
"A. Datum","2022","Canada","20.20","6.14",5240.012809965949,75787.51049153402,81027.52330149997
"Fabrikam","2022","France","27.50","5.19",5410.023963178392,75670.87391963162,81080.89788281001
"Contoso ","2022","France","30.84","5.17",3497.294590029982,72754.99167463002,76252.28626466
"Litware","2022","United Kingdom","23.66","5.83",4340.035246316213,67150.96631524379,71491.00156156
"A. Datum","2022","Germany","16.93","5.68",3390.6199301580054,59629.99599134199,63020.61592149999
"Litware","2022","France","43.66","7.36",3174.895963844305,54016.4471057257,57191.34306957001
"A. Datum","2022","Australia","18.57","6.53",3615.784843279973,50994.53400512002,54610.31884839999
"Fabrikam  ","2022","Australia","39.51","6.50",2496.360565560004,48975.95908044,51472.319646
"Litware","2022","Netherlands","29.99","6.77",2718.4854079075085,47410.122367082506,50128.607774990014
"Litware ","2022","Canada","40.30","5.36",2469.8289943400014,44348.91593616,46818.744930500005
"Fabrikam","2022","Italy","30.48","5.17",3291.0344709260025,42447.323390494006,45738.35786142001
"Southridge Video","2022","Italy","6.39","6.08",2446.910408742806,40760.59146152719,43207.501870269996
"Litware ","2022","Germany","27.56","3.85",1590.9661131579924,39348.67432694201,40939.6404401
"A. Datum","2022","United Kingdom","19.41","6.24",2257.5678386880027,36963.30103291199,39220.868871599996
"Fabrikam  ","2022","United Kingdom","36.62","5.09",2894.5358623000066,36717.6769957,39612.212858000006
"Tailspin Toys","2022","Canada","1.93","5.93",2182.0530100231917,35546.58531255678,37728.63832257997
"Northwind Traders","2022","United Kingdom","11.94","6.82",1195.7201686533008,33542.398384246706,34738.11855290001
"Northwind Traders","2022","Netherlands","22.83","8.25",1220.0765893000898,32023.87288711991,33243.94947642
